title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Rise And Fall Of The Third Reich,William L. Shirer,910.0,1264,10068,4.6,0.7199367088607594,https://www.amazon.in/dp/0099421763/?coliid=IYL7LQBVNWJSJ&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0099421763,Biography Books,"Paperback

₹910.00",2025-07-21T19:55:16.410176
"I, WOZ",Steve Wozniak,623.0,352,1417,4.3,1.7698863636363635,https://www.amazon.in/dp/0755314085/?coliid=I2BFP2KS2LSCZ1&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0755314085,Biography Books,"Paperback

₹623.00",2025-07-21T19:55:16.983373
Steve Jobs: The Exclusive Biography,,593.0,592,22889,4.7,1.0016891891891893,https://www.amazon.in/dp/B09L5TRKX2/?coliid=ITFARDXOPSIDJ&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B09L5TRKX2,Biography Books,"Paperback

₹593.00",2025-07-21T19:55:17.309297
Master Your Beliefs: A Practical Guide to Stop Doubting Yourself and Build Unshakeable Confidence,Thibaut Meurisse,267.0,192,458,4.6,1.390625,https://www.amazon.in/dp/8183286267/?coliid=I39LL8SJCAYX29&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8183286267,Biography Books,"Paperback

₹267.00",2025-07-21T19:55:17.668234
Gautam Adani: A Complete Biography | The Inspiring Journey of a Visionary Entrepreneur | Biography on Success Determination and Business Leadership,Mahesh Dutt Sharma,280.0,254,32,4.0,1.1023622047244095,https://www.amazon.in/dp/9355620616/?coliid=I2ZOOI681M1X75&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355620616,Biography Books,"Paperback

₹280.00",2025-07-21T19:55:27.107277
"The Story of Tata: 1868 to 2021 | An authorized account of the Tata family and their companies with exclusive interviews with Ratan Tata | Non-fiction Biography, Penguin Books",Peter Casey,435.0,228,653,4.6,1.9078947368421053,https://www.amazon.in/dp/0670090220/?coliid=I1OOEX400HJHMF&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0670090220,Biography Books,"Hardcover

₹405.00",2025-07-21T19:55:28.703398
