title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Rise And Fall Of The Third Reich,William L. Shirer,847.0,1264,10188,4.6,Cocoblu Retail,0.6700949367088608,https://www.amazon.in/dp/0099421763/?coliid=IYL7LQBVNWJSJ&colid=1YHK51DVJYR2A&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0099421763,Biography Books,"Paperback

₹847.00",2025-09-22T12:50:20.635467
"I, WOZ",Steve Wozniak,599.0,352,1426,4.3,Cocoblu Retail,1.7017045454545454,https://www.amazon.in/dp/0755314085/?coliid=I2BFP2KS2LSCZ1&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0755314085,Biography Books,"Paperback

₹599.00",2025-09-22T12:50:21.407720
Master Your Beliefs: A Practical Guide to Stop Doubting Yourself and Build Unshakeable Confidence,Thibaut Meurisse,189.0,192,465,4.6,Cocoblu Retail,0.984375,https://www.amazon.in/dp/8183286267/?coliid=I39LL8SJCAYX29&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8183286267,Biography Books,"Paperback

₹189.00",2025-09-22T12:50:21.656819
Steve Jobs: The Exclusive Biography,,593.0,592,23070,4.7,ReadRight Online,1.0016891891891893,https://www.amazon.in/dp/B09L5TRKX2/?coliid=ITFARDXOPSIDJ&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B09L5TRKX2,Biography Books,"Paperback

₹593.00",2025-09-22T12:50:21.817575
"The Story of Tata: 1868 to 2021 | An authorized account of the Tata family and their companies with exclusive interviews with Ratan Tata | Non-fiction Biography, Penguin Books",Peter Casey,393.0,228,661,4.6,Cocoblu Retail,1.7236842105263157,https://www.amazon.in/dp/0670090220/?coliid=I1OOEX400HJHMF&colid=1YHK51DVJYR2A&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0670090220,Biography Books,"Hardcover

₹393.00",2025-09-22T12:50:30.496598
Gautam Adani: A Complete Biography | The Inspiring Journey of a Visionary Entrepreneur | Biography on Success Determination and Business Leadership,Mahesh Dutt Sharma,300.0,254,32,4.0,Cocoblu Retail,1.1811023622047243,https://www.amazon.in/dp/9355620616/?coliid=I2ZOOI681M1X75&colid=1YHK51DVJYR2A&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355620616,Biography Books,"Paperback

₹300.00",2025-09-22T12:50:30.670757
