title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
The Republic | Plato | Hardcover | International Bestseller Book [Hardcover],,224.0,336,5371,4.4,0.6666666666666666,https://www.amazon.in/dp/9391626947/?coliid=I1ISG7NLFBH0LY&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9391626947,Hardcover Books,"Hardcover

₹139.00",2025-07-21T20:01:19.859271
The Prince | Niccol� Machiavelli | Hardcover | International Bestseller book [Hardcover] Niccol� Machiavelli,Niccolo Machiavelli,125.0,128,6278,4.4,0.9765625,https://www.amazon.in/dp/8196198892/?coliid=I22HGMKWMJUQ3J&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8196198892,Hardcover Books,"Hardcover

₹119.00",2025-07-21T20:01:24.434967
Metamorphosis | Hardcover | Franz Kafka,Franz Kafka,,96,207,4.4,,https://www.amazon.in/dp/9391626548/?coliid=IWAKRMMV4DEIA&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9391626548,Hardcover Books,"Hardcover

₹125.00",2025-07-21T20:01:24.737411
The Art of Public Speaking | Dale Carnegie & J. Berg Esenwein | Hardcover | International bestseller book [Hardcover] Dale Carnegie,Dale Carnegie,140.0,240,2396,4.2,0.5833333333333334,https://www.amazon.in/dp/9391626483/?coliid=I38BRJWG3D5AG1&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9391626483,Hardcover Books,"Hardcover

₹140.00",2025-07-21T20:01:29.219806
"Memory: How To Develop, Train, And Use It [Hardcover] William Walker Atkinson",William Walker Atkinson,134.0,160,7278,4.2,0.8375,https://www.amazon.in/dp/939162653X/?coliid=I1PSQTGXTOIEXO&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,939162653X,Hardcover Books,"Hardcover

₹134.00",2025-07-21T20:01:31.325460
Who Not How: The Formula to Achieve Bigger Goals Through Accelerating Teamwork,Dan Sullivan,1471.0,208,3303,4.6,7.072115384615385,https://www.amazon.in/dp/1401960588/?coliid=IIM4HTJ13H1IY&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1401960588,Hardcover Books,"Hardcover

₹1,471.00",2025-07-21T20:01:33.207393
Adventures of Robin Hood,Howard Pyle,,192,2822,4.3,,https://www.amazon.in/dp/8179920089/?coliid=I1V5KCMTXH8K04&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8179920089,Hardcover Books,"Hardcover

—",2025-07-21T20:01:33.676089
Bollywood: The Films! The Songs! The Stars!,"DK, Amitabh Bachchan",1852.0,360,156,4.5,5.144444444444445,https://www.amazon.in/dp/0241289297/?coliid=I3UYOU72JAIJFM&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241289297,Hardcover Books,"Hardcover

₹1,852.00",2025-07-21T20:01:38.025389
STEVE JOBS:THE EXCLUSIVE BIOGRAPHY,Walter Isaacson,864.0,656,22889,4.7,1.3170731707317074,https://www.amazon.in/dp/1408703742/?coliid=I3OHUU86TBTZU4&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1408703742,Hardcover Books,"Hardcover

₹864.00",2025-07-21T20:01:42.055759
"THE ART OF THINKING CLEARLY: BETTER THINKING, BETTER DECISIONS",Rolf Dobelli,314.0,336,6040,4.5,0.9345238095238095,https://www.amazon.in/dp/144475954X/?coliid=I1CWG1RL79ET5Y&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,144475954X,Hardcover Books,"Hardcover

₹314.00",2025-07-21T20:01:42.085382
#Tata Stories: 40 Timeless Tales to Inspire You | Tata Group | Inspirational Stories | Leadership Lessons | Nation-Building,Harish Bhat,383.0,304,1204,4.7,1.2598684210526316,https://www.amazon.in/dp/067009532X/?coliid=I24QORZSF8ZGSB&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,067009532X,Hardcover Books,"Hardcover

₹383.00",2025-07-21T20:01:45.339830
Independence,Chitra Banerjee Divakaruni,437.0,350,1635,4.4,1.2485714285714287,https://www.amazon.in/dp/9356294585/?coliid=ICQZG59PSV18D&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9356294585,Hardcover Books,"Hardcover

₹437.00",2025-07-21T20:01:49.024060
SYSTEMology,David Jenyns,1460.0,212,696,4.6,6.886792452830188,https://www.amazon.in/dp/0648871002/?coliid=I3CKSOZPK3JHG1&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0648871002,Hardcover Books,"Hardcover

₹1,460.00",2025-07-21T20:01:53.336416
The Quest for Modern Assam: A History: 1942-2000,Arupjyoti Saikia,929.0,896,45,4.6,1.0368303571428572,https://www.amazon.in/dp/0670095702/?coliid=ITCSM81ZVOKSF&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0670095702,Hardcover Books,"Hardcover

₹929.00",2025-07-21T20:01:54.069646
"4-Hour Workweek, Expanded and Updated: Expanded and Updated, With Over 100 New Pages of Cutting-Edge Content.",Timothy Ferriss,2091.87,448,26310,4.4,4.669352678571428,https://www.amazon.in/dp/0307465357/?coliid=I9QCN8N44XVDY&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0307465357,Hardcover Books,"Hardcover

₹2,091.87",2025-07-21T20:01:55.060104
Hooked : How to Build Habit-Forming Prod,Nir Eyal,501.0,256,7878,4.6,1.95703125,https://www.amazon.in/dp/0241184835/?coliid=I2919FEQ12O9DS&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241184835,Hardcover Books,"Hardcover

₹500.00",2025-07-21T20:01:57.518938
The Business Book,DK,900.0,80,1326,4.6,11.25,https://www.amazon.in/dp/1409341267/?coliid=I3DL3IL3ZJN11T&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1409341267,Hardcover Books,"Hardcover

₹900.00",2025-07-21T20:02:03.053591
