title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
$100M Offers: How To Make Offers So Good People Feel Stupid Saying No,Alex Hormozi,,164,19134,4.8,,,https://www.amazon.in/dp/173747574X/?coliid=I3Q0WOGORT41MN&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,173747574X,Business Books,Unknown,2025-09-22T12:17:14.438659
Subliminal: How Your Unconscious Mind Rules Your Behavior,Leonard Mlodinow,1256.0,272,1532,4.5,Sunrise Book store,4.617647058823529,https://www.amazon.in/dp/0307472256/?coliid=IS8GIPLLENQ6Q&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0307472256,Business Books,"Paperback

₹1,256.00",2025-09-22T12:17:14.588636
"CULTURE MAP : DECODING HOW PEOPLE THINK,",Erin Meyer,693.0,288,3151,4.7,Cocoblu Retail,2.40625,https://www.amazon.in/dp/1610392760/?coliid=I2TFTCM2DWJ4QC&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1610392760,Business Books,"Paperback

₹693.00",2025-09-22T12:17:18.749925
"Win Every Argument: The Art of Debating, Persuading and Public Speaking",MPIL (Mehdi Hasan),414.0,336,1388,4.6,Cocoblu Retail,1.2321428571428572,https://www.amazon.in/dp/9390742439/?coliid=I1LBXEJ82KBUA3&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9390742439,Business Books,"Paperback

₹414.00",2025-09-22T12:17:26.603903
Six Pillars of Self-Esteem,Nathaniel Branden,601.89,368,3245,4.4,uRead-Store,1.635570652173913,https://www.amazon.in/dp/0553374397/?coliid=I2KB51QOUBIC1O&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0553374397,Business Books,"Paperback

₹601.89",2025-09-22T12:17:26.857421
Supercommunicators,Charles Duhigg,751.0,320,2500,4.4,uRead-Store,2.346875,https://www.amazon.in/dp/1529939607/?coliid=I1QG8GNA3N4TFK&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529939607,Business Books,"Paperback

₹751.00",2025-09-22T12:17:26.901241
Active Listening Techniques,Nixaly Leonardo LCSW ,186.0,172,345,4.5,Repro Books-On-Demand,1.0813953488372092,https://www.amazon.in/dp/9389995949/?coliid=I1KCZNHR5FDH2S&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9389995949,Business Books,"Paperback

₹186.00",2025-09-22T12:17:28.705938
DEFINITIVE BK OF BODY LANGUAGE,"Barbara Pease, Allan Pease",1789.0,400,2997,4.4,Sunrise Book store,4.4725,https://www.amazon.in/dp/0553804723/?coliid=I1BBIPSSSWE0WC&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0553804723,Business Books,"Hardcover

₹1,789.00",2025-09-22T12:17:37.795876
The Art Of Dealing With People (English),Les Giblin,116.0,70,1286,4.4,Cocoblu Retail,1.6571428571428573,https://www.amazon.in/dp/8183226744/?coliid=I111HS0WXF8W92&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8183226744,Business Books,"Paperback

₹116.00",2025-09-22T12:17:38.924220
Atomic Attraction: The Psychology of Attraction,Christopher Canwell,719.0,314,1823,4.6,Repro Books-On-Demand,2.289808917197452,https://www.amazon.in/dp/1999872223/?coliid=ICHB8GEGO7B3F&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1999872223,Business Books,"Paperback

₹719.00",2025-09-22T12:17:38.985406
THE ART OF READING MINDS,Henrik Fexeus,400.0,256,396,4.2,Cocoblu Retail,1.5625,https://www.amazon.in/dp/1529391075/?coliid=I1DSQAGWKP5S5T&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1529391075,Business Books,"Paperback

₹400.00",2025-09-22T12:17:40.333402
