title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"Fluent Python: Clear, Concise, and Effective Programming, Second Edition (Grayscale Indian Edition)",Luciano Ramalho,2675.0,1012,631,4.7,2.6432806324110674,https://www.amazon.in/dp/9355420838/?coliid=I3AHNNSQAVCS3H&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355420838,IT Books,"Paperback

₹2,675.00",2025-07-21T20:04:58.176859
Harper Collins India Creative Confidence: Unleashing The Creative Potential Within Us All,Tom,192.0,244,3091,4.5,0.7868852459016393,https://www.amazon.in/dp/0007592515/?coliid=I35E51BFJORT5I&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0007592515,IT Books,"Paperback

₹192.00",2025-07-21T20:04:59.099074
Statistics without Tears: An Introduction for Non-Mathematicians,Dr Derek Rowntree,404.0,208,1012,4.5,1.9423076923076923,https://www.amazon.in/dp/0141987499/?coliid=I3KQRFPCV3YT9F&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141987499,IT Books,"Paperback

₹404.00",2025-07-21T20:05:02.148989
"The Art of Modern PHP 8: Learn how to write modern, performant, and enterprise-ready code with the latest PHP features and practices","Joseph Edmonds, Lorna Jane Mitchell",2771.0,420,9,4.2,6.597619047619047,https://www.amazon.in/dp/1800566158/?coliid=I3NA10BNNNPQRF&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1800566158,IT Books,"Paperback

₹2,771.00",2025-07-21T20:05:04.284008
"PHP 8 Programming Tips, Tricks and Best Practices: A practical guide to PHP 8 features, usage changes, and advanced programming techniques","Doug Bierer, Cal Evans",,528,19,4.3,,https://www.amazon.in/dp/180107187X/?coliid=I1L6YS4HAVTGVR&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,180107187X,IT Books,"Paperback

from ₹3,279.00",2025-07-21T20:05:05.848203
Mastering WooCommerce 4,Patrick Rauland,2960.0,334,31,3.9,8.862275449101796,https://www.amazon.in/dp/1838822836/?coliid=I1GNJEYVMTKKTY&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1838822836,IT Books,"Paperback

₹2,960.00",2025-07-21T20:05:06.753218
WordPress 5 Cookbook: Actionable solutions to common problems when building websites with WordPress,Rakhitha Nimesh Ratnayake,2395.0,660,12,4.2,3.628787878787879,https://www.amazon.in/dp/1838986502/?coliid=I1UP82O7CZIKHZ&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1838986502,IT Books,"Paperback

₹2,395.00",2025-07-21T20:05:10.400950
"WordPress 5 Complete: Build beautiful and feature-rich websites from scratch, 7th Edition",Karol Król,2321.0,432,51,4.3,5.372685185185185,https://www.amazon.in/dp/1789532019/?coliid=IWEALOE4QZ8WU&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1789532019,IT Books,"Paperback

₹2,320.00",2025-07-21T20:05:12.779986
"Professional WordPress Plugin Development, Second Edition","Brad Williams, Justin Tadlock, ",2815.0,480,84,4.7,5.864583333333333,https://www.amazon.in/dp/1119666945/?coliid=I2UWJ19KKH9CI0&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1119666945,IT Books,"Paperback

₹2,815.00",2025-07-21T20:05:15.258509
"Building Web Apps with WordPress: WordPress as an Application Framework, Second Edition [Paperback] Brian Messenlehner and Jason Coleman","Brian Messenlehner, Jason Coleman",2100.0,548,68,4.4,3.832116788321168,https://www.amazon.in/dp/9352139526/?coliid=I133R9SKV337FV&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9352139526,IT Books,"Paperback

₹2,100.00",2025-07-21T20:05:16.534281
Quantum Supremacy: How Quantum Computers will Unlock the Mysteries of Science – and Address Humanity’s Biggest Challenges,Michio Kaku,985.0,304,1439,4.5,3.2401315789473686,https://www.amazon.in/dp/0241555663/?coliid=IJ49AY61CHV0I&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241555663,IT Books,"Hardcover

₹985.00",2025-07-21T20:05:18.364352
DK Eyewitness Books: Electricity: Discover the Story of Electricity―from the Earliest Discoveries to the Technolog,Steve Parker,,72,26,4.8,,https://www.amazon.in/dp/1465408991/?coliid=IXL3AUEUBCWJ8&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1465408991,IT Books,"Book Supplement

₹2,736.00",2025-07-21T20:05:23.192742
"Learning JavaScript Design Patterns: A JavaScript and React Developer's Guide, Second Edition (Grayscale Indian Edition)",Addy Osmani,1200.0,300,46,4.0,4.0,https://www.amazon.in/dp/9355429800/?coliid=I283LNH2148MRU&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355429800,IT Books,"Paperback

₹1,200.00",2025-07-21T20:05:23.995664
THE DESIGN OF EVERYDAY THINGS,Don Norman,812.0,368,8175,4.4,2.2065217391304346,https://www.amazon.in/dp/0465050654/?coliid=I1DJ8RQZNVYFGP&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0465050654,IT Books,"Paperback

₹812.00",2025-07-21T20:05:27.921318
"Fifth Discipline Second Edition, The",Peter M Senge,899.0,464,2209,4.6,1.9375,https://www.amazon.in/dp/1905211201/?coliid=I2GUNQ5FGN75EO&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1905211201,IT Books,"Paperback

₹899.00",2025-07-21T20:05:29.194897
The Complete Website Planning Guide: A step-by-step guide for website owners and agencies on how to create a practical and successful scope of works for your next web design project: 1,Darryl King,1213.0,118,158,4.3,10.279661016949152,https://www.amazon.in/dp/0648053709/?coliid=I30UGVZAVIMKX9&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0648053709,IT Books,"Paperback

₹1,213.00",2025-07-21T20:05:33.046266
Python All-in-One for Dummies,"John Shovic, Alan Simpson",873.0,712,809,4.5,1.226123595505618,https://www.amazon.in/dp/9388991214/?coliid=I1WYUT67YOSK6C&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9388991214,IT Books,"Paperback

₹873.00",2025-07-21T20:05:34.547509
"Raspberry Pi for Dummies, 4ed",Sean McManus; Mike Cook,762.0,512,53,4.4,1.48828125,https://www.amazon.in/dp/935746042X/?coliid=I30SA6TG97TRSD&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,935746042X,IT Books,"Paperback

₹762.00",2025-07-21T20:05:36.651292
THE SELF-TAUGHT PROGRAMMER,Cory Althoff,680.0,368,1065,4.4,1.8478260869565217,https://www.amazon.in/dp/1472147103/?coliid=I1OC7QH9Z4OXK6&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1472147103,IT Books,"Paperback

₹680.00",2025-07-21T20:05:41.647437
"The Informatio: A Work of Rare Penetration, A True History of Ideas' Daily Telegraph",James Gleick,597.0,544,1408,4.5,1.0974264705882353,https://www.amazon.in/dp/0007225741/?coliid=I1GD26DKG4NOD2&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0007225741,IT Books,"Paperback

₹597.00",2025-07-21T20:05:43.097998
Lauren Ipsum,Carlos Bueno,499.0,145,65,4.3,3.4413793103448276,https://www.amazon.in/dp/0983647208/?coliid=I3398JUUPU93B0&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0983647208,IT Books,"Paperback

₹499.00",2025-07-21T20:05:44.378733
