title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"Make: Encyclopedia of Electronic Components Volume 1 - Resistors, Capacitors, Inductors, Switches, Encoders, Relays, Transistors",Charles Platt,1300.0,304,1141,4.7,4.276315789473684,https://www.amazon.in/dp/9352131940/?coliid=I283KA19V8YLPH&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9352131940,General Books,"Paperback

₹1,300.00",2025-07-21T20:27:52.961944
"Game Storming: A Playbook for Innovators, Rule breakers, And Change makers [Paperback] Gray, Dave; Brown, Sunni and Macanufo, James","Dave Gray, Sunni Brown, ",1025.0,308,801,4.5,3.3279220779220777,https://www.amazon.in/dp/9350230666/?coliid=ISZ5QLQO1KSB8&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9350230666,General Books,"Paperback

₹1,025.00",2025-07-21T20:27:59.236760
Kunex Shoe Dog Phil Knight Memoir By,Kunex,,400,43,4.2,,https://www.amazon.in/dp/B08G8VTVST/?coliid=ITJOL447ZLU2&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,B08G8VTVST,General Books,Unknown,2025-07-21T20:27:59.291655
The Subtle Art of Not Giving a F*ck : A Counterintuitive Approach to Living a Good Life,Mark Manson,358.0,224,152349,4.5,1.5982142857142858,https://www.amazon.in/dp/0062641549/?coliid=I1NHDX2DCW903I&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0062641549,General Books,"Paperback

₹358.00",2025-07-21T20:28:00.462502
ReWork: Change the Way You Work Forever,"David Heinemeier Hansson, Jason Fried",428.0,288,9859,4.5,1.4861111111111112,https://www.amazon.in/dp/0091929784/?coliid=I93A59HCPRP77&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0091929784,General Books,"Paperback

₹428.00",2025-07-21T20:28:03.595157
Don't Sell Make them Buy : Upgrade Your Selling Skills,R. Mukund,238.0,184,416,4.3,1.2934782608695652,https://www.amazon.in/dp/9392834713/?coliid=I20RA7ECJTQQNT&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9392834713,General Books,"Paperback

₹238.00",2025-07-21T20:28:09.997798
"Do It Today: Overcome Procrastination, Improve Productivity and Achieve More Meaningful Things | A Life-Changing Guide to Doing What Matters Now","Darius Forous, Darius Foroux",181.0,160,10628,4.4,1.13125,https://www.amazon.in/dp/0143452126/?coliid=I21GH82ZQHQ2K0&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143452126,General Books,"Paperback

₹181.00",2025-07-21T20:28:10.340621
"THINK STRAIGHT: Change Your Thoughts, Change Your Life","Darius Forous, Darius Foroux",190.0,112,14830,4.2,1.6964285714285714,https://www.amazon.in/dp/0143452134/?coliid=IM6DQ09GC6HTU&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143452134,General Books,"Paperback

₹190.00",2025-07-21T20:28:11.942712
"Build, Don't Talk: Things You Wish You Were Taught in School | A Real-World Manual for Personal Transformation | Learn Practical Skills – Finance, Networking, Decision Making & More",Raj Shamani,185.0,224,1459,4.3,0.8258928571428571,https://www.amazon.in/dp/0143459686/?coliid=IR362D1GY9A6E&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143459686,General Books,"Paperback

₹185.00",2025-07-21T20:28:13.359548
The Big Questions of Life,Om Swami,194.0,200,1077,4.7,0.97,https://www.amazon.in/dp/9353577195/?coliid=I11NNLXB8I9LY1&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9353577195,General Books,"Paperback

₹194.00",2025-07-21T20:28:19.827081
