title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
JR 1 : Killing Floor (Jack Reacher),Lee Child,413.0,544,73546,4.3,Cocoblu Retail,0.7591911764705882,https://www.amazon.in/dp/0553826166/?coliid=I128AAXII3XXDK&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0553826166,General Books,"Paperback

₹413.00",2025-09-22T12:28:28.741713
THE BONE COLLECTOR,Jeffery Deaver,699.0,480,7331,4.4,Cocoblu Retail,1.45625,https://www.amazon.in/dp/1444791559/?coliid=I2TNNOO9ICADU5&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1444791559,General Books,"Paperback

₹699.00",2025-09-22T12:28:30.889545
Along Came a Spider: (Alex Cross 1),James Patterson,451.0,496,27207,4.4,Cocoblu Retail,0.9092741935483871,https://www.amazon.in/dp/1784757403/?coliid=I3F3VNLF54LPCM&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1784757403,General Books,"Paperback

₹451.00",2025-09-22T12:28:33.066227
RULES OF PREY,John Sandford,978.0,448,18101,4.4,Peacockbooks,2.1830357142857144,https://www.amazon.in/dp/1471179036/?coliid=I2N2MMXMGSQ5WK&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1471179036,General Books,"Paperback

₹978.00",2025-09-22T12:28:35.620248
The Art of Electronics,"Paul Horowitz, Winfield Hill",8270.0,1220,2065,4.8,Ram ram book,6.778688524590164,https://www.amazon.in/dp/0521809266/?coliid=I1VU9T042FM370&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0521809266,General Books,"Hardcover

₹8,270.00",2025-09-22T12:28:37.795115
"The One Goal: Master The Art of Goal Setting, Win Your Inner Battles, and Achieve Exceptional Results; author of Dopamine Detox",Thibaut Meurisse,196.0,240,12,4.2,Cocoblu Retail,0.8166666666666667,https://www.amazon.in/dp/014346518X/?coliid=I33YKQPMCLNMBC&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014346518X,General Books,"Paperback

₹196.00",2025-09-22T12:28:39.589849
101 Essays That Will Change The Way You Think (English),Brianna Wiest,341.0,450,17702,4.3,Cocoblu Retail,0.7577777777777778,https://www.amazon.in/dp/9355434030/?coliid=I364OM366MU6YX&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9355434030,General Books,"Paperback

₹341.00",2025-09-22T12:28:43.944009
"Short History Of Nearly Everything, A (Bryson)",Bill Bryson,499.0,672,17846,4.6,uRead-Store,0.7425595238095238,https://www.amazon.in/dp/1784161853/?coliid=I2P7QSUA8W3WTR&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1784161853,General Books,"Paperback

₹499.00",2025-09-22T12:28:45.702840
"The Best of Dostoevsky Boxed Set (Crime and Punishment, The Idiot, The Brothers Karamazov)",Fyodor Dostoevsky,883.0,2220,104,4.5,Cocoblu Retail,0.39774774774774774,https://www.amazon.in/dp/9358563141/?coliid=IY433TXMQATA9&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9358563141,General Books,"Paperback

₹883.00",2025-09-22T12:28:47.578847
"The Four: The Hidden DNA of Amazon, Apple, Facebook and Google",Scott Galloway,406.43,336,4026,4.4,Cocoblu Retail,1.2096130952380952,https://www.amazon.in/dp/0552173436/?coliid=I1D5QXRCAJMN3B&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0552173436,General Books,"Paperback

₹406.43",2025-09-22T12:28:48.461917
How Not to Age,Michael Greger MD,479.0,608,1791,4.6,Cocoblu Retail,0.787828947368421,https://www.amazon.in/dp/1529057353/?coliid=I1O1B4VH5OWALP&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1529057353,General Books,"Paperback

₹479.00",2025-09-22T12:28:54.456509
Super Thinking,"Gabriel Weinberg, Lauren McCann",692.0,352,1143,4.5,Cocoblu Retail,1.9659090909090908,https://www.amazon.in/dp/024133635X/?coliid=ISRFVFMZ6CB55&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,024133635X,General Books,"Paperback

₹692.00",2025-09-22T12:28:54.829778
Extreme Ownership,Jocko Willink,409.0,360,35743,4.6,Cocoblu Retail,1.136111111111111,https://www.amazon.in/dp/1250270960/?coliid=I1O092WY9O6CT1&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1250270960,General Books,"Paperback

₹409.00",2025-09-22T12:28:56.077989
